id,item_name,category,color,size,gender,season,price,material
342,Mini Skirt,Skirt,Green,XS,Male,Spring,PKR 8062,Linen
343,Graphic Skirt,Skirt,Grey,XL,Male,Winter,PKR 4927,Denim
344,Mini Jacket,Jacket,Pink,M,Male,Spring,PKR 3777,Denim
345,Elegant Handbag,Handbag,Beige,,Unisex,Spring,PKR 3246,Denim
346,Graphic Skirt,Skirt,Brown,XL,Female,Autumn,PKR 1974,Wool
347,Urban Sneakers,Sneakers,Blue,L,Unisex,Winter,PKR 5905,Nylon
348,Floral Skirt,Skirt,Pink,M,Unisex,Winter,PKR 3065,Leather
349,Relaxed Handbag,Handbag,Beige,,Male,Winter,PKR 4610,Leather
350,Floral Boots,Boots,Green,L,Unisex,Spring,PKR 8379,Nylon
351,Floral Jacket,Jacket,White,M,Unisex,Summer,PKR 7239,Leather
352,Mini Handbag,Handbag,Pink,,Female,Winter,PKR 1898,Leather
353,Floral Crop Top,Crop Top,Brown,S,Female,Winter,PKR 8662,Linen
354,Relaxed Boots,Boots,White,M,Unisex,Summer,PKR 7543,Silk
355,Floral Crop Top,Crop Top,Beige,S,Female,Winter,PKR 7159,Silk
356,Floral Jeans,Jeans,Grey,M,Female,Spring,PKR 6606,Silk
357,Mini Jeans,Jeans,Blue,M,Female,Spring,PKR 2384,Cotton
358,Mini Crop Top,Crop Top,White,S,Female,Summer,PKR 4703,Wool
359,Graphic Jeans,Jeans,Grey,M,Male,Winter,PKR 7449,Leather
360,Elegant Jacket,Jacket,Blue,XS,Female,Winter,PKR 8706,Linen
361,Casual Hoodie,Hoodie,Grey,XL,Unisex,Autumn,PKR 4342,Cotton
362,Mini Hoodie,Hoodie,Green,S,Male,Autumn,PKR 3599,Denim
363,Zip Shorts,Shorts,Grey,M,Male,Autumn,PKR 5737,Nylon
364,Urban Handbag,Handbag,Black,,Female,Spring,PKR 3379,Cotton
365,Urban Hoodie,Hoodie,Red,XL,Female,Summer,PKR 4737,Nylon
366,Relaxed Jeans,Jeans,Green,L,Male,Summer,PKR 5638,Silk
367,Classic Boots,Boots,Grey,XL,Female,Summer,PKR 5026,Polyester
368,Relaxed Handbag,Handbag,Red,,Female,Spring,PKR 4393,Cotton
369,Elegant Sneakers,Sneakers,Brown,S,Male,Winter,PKR 1309,Leather
370,Zip Hoodie,Hoodie,Red,XL,Unisex,Summer,PKR 1290,Silk
371,Classic Sneakers,Sneakers,Blue,XS,Male,Spring,PKR 7972,Denim
372,Relaxed Boots,Boots,Brown,L,Male,Autumn,PKR 8736,Silk
373,Casual Sneakers,Sneakers,Yellow,S,Male,Spring,PKR 7704,Cotton
374,Classic Jeans,Jeans,Blue,XS,Female,Autumn,PKR 6098,Polyester
375,Mini Jacket,Jacket,Beige,M,Unisex,Autumn,PKR 6001,Nylon
376,Mini Skirt,Skirt,Red,L,Male,Spring,PKR 6317,Nylon
377,Casual Handbag,Handbag,Green,,Female,Spring,PKR 5036,Leather
378,Casual Heels,Heels,Blue,,Unisex,Summer,PKR 7925,Leather
379,Urban Hoodie,Hoodie,Red,L,Female,Spring,PKR 8642,Polyester
380,Floral Shorts,Shorts,Blue,XL,Female,Autumn,PKR 4159,Polyester
381,Casual Boots,Boots,Black,XS,Male,Spring,PKR 3509,Silk
382,Casual Handbag,Handbag,Grey,,Female,Winter,PKR 7757,Linen
383,Elegant Boots,Boots,Yellow,XL,Female,Autumn,PKR 7356,Polyester
384,Classic Crop Top,Crop Top,Brown,XS,Male,Spring,PKR 2985,Leather
385,Graphic Heels,Heels,Pink,,Unisex,Winter,PKR 6755,Polyester
386,Casual Jacket,Jacket,Pink,S,Unisex,Winter,PKR 4441,Linen
387,Relaxed Skirt,Skirt,Green,L,Female,Winter,PKR 6006,Nylon
388,Casual Shorts,Shorts,Brown,S,Female,Summer,PKR 4462,Cotton
389,Relaxed Boots,Boots,Grey,L,Unisex,Spring,PKR 1408,Polyester
390,Mini Handbag,Handbag,Green,,Female,Spring,PKR 7144,Leather
391,Urban Jeans,Jeans,Green,L,Unisex,Winter,PKR 4669,Leather
392,Floral Skirt,Skirt,Red,M,Female,Spring,PKR 7929,Silk
393,Relaxed Boots,Boots,Grey,S,Unisex,Summer,PKR 7206,Denim
394,Relaxed Handbag,Handbag,Green,,Female,Spring,PKR 4033,Silk
395,Urban Crop Top,Crop Top,Yellow,XS,Female,Spring,PKR 3837,Leather
396,Urban Shorts,Shorts,Blue,XS,Male,Autumn,PKR 3742,Polyester
397,Zip Jeans,Jeans,Red,XL,Female,Spring,PKR 1531,Cotton
398,Casual Handbag,Handbag,Pink,,Female,Spring,PKR 3247,Denim
399,Graphic Crop Top,Crop Top,Black,S,Male,Winter,PKR 2409,Nylon
400,Graphic Jeans,Jeans,Green,M,Female,Autumn,PKR 1390,Nylon
401,Zip Heels,Heels,Yellow,,Unisex,Winter,PKR 7356,Linen
402,Graphic Shorts,Shorts,White,S,Male,Spring,PKR 2035,Leather
403,Sporty Heels,Heels,White,,Female,Spring,PKR 4997,Wool
404,Urban Handbag,Handbag,Black,,Male,Summer,PKR 2758,Wool
405,Zip Heels,Heels,Green,,Unisex,Winter,PKR 3486,Linen
406,Sporty Hoodie,Hoodie,Grey,XS,Unisex,Summer,PKR 6546,Wool
407,Casual Handbag,Handbag,Yellow,,Male,Winter,PKR 7419,Cotton
408,Urban Sneakers,Sneakers,Yellow,M,Female,Autumn,PKR 3408,Nylon
409,Urban Crop Top,Crop Top,Beige,S,Male,Autumn,PKR 4298,Leather
410,Sporty Hoodie,Hoodie,Yellow,XL,Male,Autumn,PKR 6340,Cotton
411,Elegant Boots,Boots,Brown,S,Unisex,Winter,PKR 5892,Silk
412,Urban Crop Top,Crop Top,Green,L,Unisex,Summer,PKR 4502,Polyester
413,Zip Jeans,Jeans,Beige,XL,Female,Summer,PKR 4825,Nylon
414,Graphic Sneakers,Sneakers,Grey,L,Female,Winter,PKR 7636,Silk
415,Sporty Jacket,Jacket,Black,M,Female,Summer,PKR 2801,Linen
416,Elegant Boots,Boots,White,L,Male,Autumn,PKR 8119,Nylon
417,Elegant Sneakers,Sneakers,Grey,M,Unisex,Winter,PKR 6464,Cotton
418,Floral Handbag,Handbag,Green,,Male,Spring,PKR 2428,Linen
419,Elegant Jacket,Jacket,White,M,Male,Spring,PKR 4291,Silk
420,Zip Hoodie,Hoodie,Red,XL,Unisex,Autumn,PKR 5841,Cotton
421,Elegant Boots,Boots,Blue,S,Unisex,Spring,PKR 6497,Denim
422,Elegant Hoodie,Hoodie,Black,L,Female,Autumn,PKR 6745,Silk
423,Classic Jacket,Jacket,Brown,XS,Female,Spring,PKR 8733,Nylon
424,Floral Jacket,Jacket,Yellow,M,Unisex,Winter,PKR 3160,Leather
425,Mini Crop Top,Crop Top,Grey,M,Male,Autumn,PKR 6412,Cotton
426,Sporty Handbag,Handbag,Blue,,Unisex,Spring,PKR 8123,Linen
427,Sporty Shorts,Shorts,Brown,XS,Male,Summer,PKR 2245,Silk
428,Classic Hoodie,Hoodie,Blue,XS,Male,Summer,PKR 3082,Polyester
429,Floral Sneakers,Sneakers,Grey,L,Male,Autumn,PKR 6480,Denim
430,Urban Jeans,Jeans,Beige,L,Female,Autumn,PKR 3924,Nylon
431,Elegant Hoodie,Hoodie,Brown,M,Male,Spring,PKR 2090,Wool
432,Elegant Jeans,Jeans,Grey,S,Male,Winter,PKR 6592,Cotton
433,Elegant Jacket,Jacket,Brown,L,Unisex,Summer,PKR 3283,Polyester
434,Relaxed Jacket,Jacket,Yellow,S,Male,Winter,PKR 1565,Denim
435,Floral Handbag,Handbag,Pink,,Female,Autumn,PKR 1291,Polyester
436,Casual Sneakers,Sneakers,Black,XS,Male,Winter,PKR 7682,Polyester
437,Graphic Skirt,Skirt,Grey,S,Male,Autumn,PKR 4839,Wool
438,Zip Skirt,Skirt,White,S,Female,Spring,PKR 3884,Linen
439,Classic Handbag,Handbag,Yellow,,Unisex,Autumn,PKR 5217,Denim
440,Urban Jeans,Jeans,Red,XS,Unisex,Spring,PKR 2177,Denim
441,Graphic Jeans,Jeans,Green,M,Female,Autumn,PKR 3133,Leather
442,Elegant Heels,Heels,Yellow,,Unisex,Autumn,PKR 2324,Nylon
443,Mini Shorts,Shorts,Yellow,S,Female,Winter,PKR 2137,Polyester
444,Classic Jeans,Jeans,White,M,Female,Winter,PKR 1933,Wool
445,Graphic Jacket,Jacket,Brown,L,Female,Summer,PKR 1301,Linen
446,Sporty Shorts,Shorts,Red,S,Male,Winter,PKR 5867,Nylon
447,Classic Crop Top,Crop Top,Red,M,Unisex,Spring,PKR 3039,Linen
448,Classic Heels,Heels,Blue,,Unisex,Summer,PKR 6872,Leather
449,Relaxed Crop Top,Crop Top,Green,M,Unisex,Summer,PKR 4897,Silk
450,Urban Shorts,Shorts,Blue,L,Male,Summer,PKR 5201,Polyester
451,Classic Crop Top,Crop Top,Green,L,Female,Autumn,PKR 2947,Cotton
452,Sporty Sneakers,Sneakers,Red,M,Unisex,Winter,PKR 1346,Wool
453,Classic Jeans,Jeans,Brown,XL,Female,Autumn,PKR 6029,Wool
454,Casual Jeans,Jeans,Black,L,Unisex,Spring,PKR 7542,Cotton
455,Classic Shorts,Shorts,Yellow,S,Male,Winter,PKR 5948,Polyester
456,Elegant Hoodie,Hoodie,Grey,L,Male,Winter,PKR 4088,Linen
457,Graphic Jacket,Jacket,Yellow,XL,Female,Spring,PKR 2775,Silk
458,Relaxed Jacket,Jacket,White,XL,Male,Summer,PKR 8967,Leather
459,Sporty Handbag,Handbag,Red,,Female,Autumn,PKR 4797,Wool
460,Urban Handbag,Handbag,Grey,,Male,Summer,PKR 1626,Silk
461,Floral Jeans,Jeans,Brown,L,Unisex,Winter,PKR 2039,Cotton
462,Casual Jacket,Jacket,Pink,S,Unisex,Summer,PKR 8707,Silk
463,Zip Crop Top,Crop Top,Beige,XL,Unisex,Spring,PKR 5741,Polyester
464,Casual Skirt,Skirt,Blue,XS,Female,Summer,PKR 3810,Silk
465,Graphic Boots,Boots,Brown,S,Male,Winter,PKR 3767,Wool
466,Urban Jeans,Jeans,White,S,Female,Summer,PKR 3737,Denim
467,Graphic Heels,Heels,Yellow,,Male,Winter,PKR 2158,Cotton
468,Casual Jeans,Jeans,Red,S,Female,Autumn,PKR 5348,Leather
469,Classic Sneakers,Sneakers,White,M,Female,Summer,PKR 5677,Wool
470,Sporty Sneakers,Sneakers,Beige,M,Unisex,Autumn,PKR 4708,Denim
471,Urban Hoodie,Hoodie,Red,XL,Unisex,Autumn,PKR 7221,Silk
472,Graphic Sneakers,Sneakers,Brown,S,Unisex,Autumn,PKR 4717,Silk
473,Sporty Heels,Heels,Blue,,Female,Spring,PKR 1452,Wool
474,Relaxed Heels,Heels,Pink,,Female,Summer,PKR 6955,Denim
475,Elegant Jeans,Jeans,Beige,XL,Female,Autumn,PKR 8307,Polyester
476,Floral Sneakers,Sneakers,Beige,M,Female,Autumn,PKR 8552,Leather
477,Relaxed Crop Top,Crop Top,Green,XL,Unisex,Autumn,PKR 4456,Wool
478,Relaxed Crop Top,Crop Top,Red,S,Male,Summer,PKR 4100,Polyester
479,Graphic Hoodie,Hoodie,Brown,L,Male,Summer,PKR 6843,Denim
480,Mini Jacket,Jacket,White,L,Male,Spring,PKR 6552,Leather
481,Relaxed Jeans,Jeans,Blue,XS,Unisex,Autumn,PKR 2034,Nylon
482,Classic Boots,Boots,Blue,M,Unisex,Autumn,PKR 3052,Silk
483,Floral Skirt,Skirt,Brown,L,Unisex,Spring,PKR 8465,Cotton
484,Classic Heels,Heels,Beige,,Male,Spring,PKR 1841,Leather
485,Casual Jacket,Jacket,Blue,L,Female,Winter,PKR 7742,Leather
486,Classic Jeans,Jeans,Brown,L,Male,Winter,PKR 5455,Wool
487,Classic Crop Top,Crop Top,Yellow,S,Female,Winter,PKR 7823,Leather
488,Mini Handbag,Handbag,Blue,,Male,Spring,PKR 8782,Leather
489,Floral Crop Top,Crop Top,Brown,M,Unisex,Winter,PKR 4275,Linen
490,Graphic Sneakers,Sneakers,Green,L,Unisex,Winter,PKR 2886,Polyester
491,Elegant Skirt,Skirt,Red,S,Unisex,Winter,PKR 5692,Linen
492,Graphic Sneakers,Sneakers,Brown,S,Male,Summer,PKR 3291,Denim
493,Zip Sneakers,Sneakers,Yellow,XL,Unisex,Autumn,PKR 2760,Cotton
494,Sporty Jeans,Jeans,Beige,S,Male,Autumn,PKR 8855,Wool
495,Graphic Sneakers,Sneakers,White,XL,Female,Autumn,PKR 3037,Denim
496,Zip Jacket,Jacket,Yellow,XL,Female,Spring,PKR 2448,Denim
497,Mini Shorts,Shorts,Pink,S,Unisex,Summer,PKR 8138,Cotton
498,Mini Sneakers,Sneakers,Black,M,Unisex,Spring,PKR 1483,Linen
499,Casual Skirt,Skirt,Pink,XS,Female,Summer,PKR 8008,Linen
500,Sporty Sneakers,Sneakers,Beige,M,Unisex,Winter,PKR 4510,Wool
501,Mini Handbag,Handbag,White,,Unisex,Summer,PKR 8126,Linen
502,Graphic Shorts,Shorts,Yellow,L,Unisex,Winter,PKR 2255,Cotton
503,Classic Jacket,Jacket,White,L,Unisex,Winter,PKR 4038,Linen
504,Urban Boots,Boots,Yellow,S,Female,Summer,PKR 5974,Cotton
505,Elegant Shorts,Shorts,Black,M,Male,Spring,PKR 4070,Polyester
506,Floral Crop Top,Crop Top,Red,XL,Unisex,Autumn,PKR 1428,Nylon
507,Classic Heels,Heels,Green,,Female,Winter,PKR 6953,Wool
508,Elegant Jacket,Jacket,White,M,Female,Autumn,PKR 8097,Cotton
509,Relaxed Skirt,Skirt,Brown,XL,Unisex,Winter,PKR 4087,Polyester
510,Graphic Skirt,Skirt,Blue,M,Male,Winter,PKR 8222,Denim
511,Classic Crop Top,Crop Top,White,S,Male,Spring,PKR 5056,Denim
512,Classic Boots,Boots,Beige,L,Unisex,Summer,PKR 3712,Cotton
513,Casual Crop Top,Crop Top,Yellow,L,Female,Winter,PKR 8674,Linen
514,Relaxed Hoodie,Hoodie,Pink,XS,Female,Autumn,PKR 7136,Wool
515,Relaxed Shorts,Shorts,Blue,L,Male,Spring,PKR 8083,Wool
516,Floral Jacket,Jacket,Yellow,XL,Unisex,Autumn,PKR 6657,Nylon
517,Zip Shorts,Shorts,Red,M,Unisex,Autumn,PKR 3604,Denim
518,Classic Handbag,Handbag,Beige,,Unisex,Winter,PKR 8469,Silk
519,Mini Jacket,Jacket,Beige,M,Female,Spring,PKR 5393,Wool
520,Classic Heels,Heels,Green,,Unisex,Spring,PKR 3104,Polyester
521,Urban Shorts,Shorts,Red,L,Male,Spring,PKR 5020,Polyester
522,Mini Jacket,Jacket,Beige,XS,Male,Spring,PKR 7935,Nylon
523,Sporty Jeans,Jeans,Green,M,Unisex,Spring,PKR 7510,Polyester
524,Mini Shorts,Shorts,Yellow,L,Female,Autumn,PKR 2774,Silk
525,Zip Hoodie,Hoodie,Blue,S,Female,Spring,PKR 8159,Cotton
526,Urban Boots,Boots,Pink,M,Male,Autumn,PKR 2083,Leather
527,Zip Hoodie,Hoodie,Black,XL,Male,Spring,PKR 1666,Polyester
528,Graphic Jacket,Jacket,Yellow,XS,Female,Summer,PKR 2785,Polyester
529,Floral Boots,Boots,White,L,Female,Summer,PKR 7189,Silk
530,Mini Sneakers,Sneakers,Black,S,Unisex,Winter,PKR 2545,Wool
531,Urban Heels,Heels,Blue,,Unisex,Spring,PKR 5572,Cotton
532,Casual Crop Top,Crop Top,White,M,Male,Autumn,PKR 3283,Silk
533,Relaxed Handbag,Handbag,White,,Female,Winter,PKR 6820,Linen
534,Graphic Boots,Boots,Blue,L,Male,Autumn,PKR 8398,Cotton
535,Sporty Shorts,Shorts,Brown,XL,Female,Winter,PKR 4838,Silk
536,Elegant Handbag,Handbag,Green,,Unisex,Summer,PKR 7294,Denim
537,Sporty Skirt,Skirt,Black,M,Female,Summer,PKR 3654,Leather
538,Classic Hoodie,Hoodie,Black,XL,Male,Summer,PKR 5886,Leather
539,Urban Jeans,Jeans,Beige,S,Female,Spring,PKR 7922,Linen
540,Relaxed Crop Top,Crop Top,Grey,L,Female,Autumn,PKR 5374,Nylon
541,Floral Heels,Heels,Blue,,Female,Autumn,PKR 5489,Denim
542,Sporty Boots,Boots,Brown,XS,Female,Autumn,PKR 8687,Silk
543,Graphic Jeans,Jeans,Beige,XS,Unisex,Summer,PKR 1704,Cotton
544,Zip Heels,Heels,Black,,Unisex,Autumn,PKR 5456,Silk
545,Sporty Heels,Heels,Yellow,,Male,Autumn,PKR 5914,Leather
546,Mini Heels,Heels,Brown,,Female,Spring,PKR 1534,Nylon
547,Urban Heels,Heels,Grey,,Male,Winter,PKR 1737,Denim
548,Floral Boots,Boots,Beige,XS,Unisex,Summer,PKR 2083,Cotton
549,Classic Heels,Heels,Beige,,Male,Winter,PKR 3509,Wool
550,Sporty Sneakers,Sneakers,Blue,L,Unisex,Spring,PKR 1445,Wool
551,Zip Crop Top,Crop Top,Beige,M,Male,Summer,PKR 1276,Denim
552,Elegant Shorts,Shorts,Brown,XL,Male,Summer,PKR 1760,Wool
553,Graphic Jeans,Jeans,Beige,M,Unisex,Winter,PKR 4073,Leather
554,Zip Jacket,Jacket,Blue,S,Male,Autumn,PKR 7400,Polyester
555,Graphic Handbag,Handbag,Beige,,Male,Winter,PKR 7304,Linen
556,Elegant Jacket,Jacket,Beige,XS,Female,Autumn,PKR 6672,Cotton
557,Relaxed Jacket,Jacket,Grey,XS,Male,Autumn,PKR 6040,Wool
558,Graphic Hoodie,Hoodie,Brown,XL,Unisex,Winter,PKR 6752,Wool
559,Mini Crop Top,Crop Top,Green,M,Unisex,Winter,PKR 2452,Polyester
560,Casual Crop Top,Crop Top,Blue,S,Female,Summer,PKR 4047,Silk
561,Elegant Hoodie,Hoodie,Red,M,Male,Winter,PKR 6968,Cotton
562,Classic Skirt,Skirt,Beige,L,Unisex,Winter,PKR 7832,Linen
563,Urban Heels,Heels,Grey,,Female,Spring,PKR 2584,Linen
564,Urban Skirt,Skirt,Beige,M,Unisex,Spring,PKR 8549,Cotton
565,Relaxed Sneakers,Sneakers,Pink,S,Female,Summer,PKR 3908,Leather
566,Floral Sneakers,Sneakers,Brown,S,Female,Summer,PKR 6770,Cotton
567,Floral Heels,Heels,Grey,,Male,Winter,PKR 6297,Denim
568,Urban Boots,Boots,Brown,XL,Male,Summer,PKR 1714,Leather
569,Sporty Skirt,Skirt,Green,XS,Female,Spring,PKR 3325,Cotton
570,Floral Shorts,Shorts,Grey,S,Unisex,Summer,PKR 2323,Leather
571,Mini Jeans,Jeans,Pink,M,Male,Spring,PKR 6201,Silk
572,Classic Jacket,Jacket,Pink,XL,Unisex,Winter,PKR 3521,Wool
573,Sporty Skirt,Skirt,Black,XL,Male,Autumn,PKR 2985,Linen
574,Mini Boots,Boots,Grey,XL,Male,Spring,PKR 7895,Linen
575,Classic Sneakers,Sneakers,Black,S,Female,Summer,PKR 4545,Leather
576,Sporty Hoodie,Hoodie,Yellow,XS,Female,Winter,PKR 7388,Silk
577,Mini Shorts,Shorts,Blue,S,Female,Summer,PKR 4357,Leather
578,Graphic Heels,Heels,Brown,,Unisex,Spring,PKR 6057,Cotton
579,Classic Skirt,Skirt,Red,XS,Unisex,Summer,PKR 6606,Denim
580,Mini Jacket,Jacket,Black,L,Male,Spring,PKR 1831,Cotton
581,Relaxed Jacket,Jacket,Yellow,XS,Unisex,Autumn,PKR 2278,Cotton
582,Casual Skirt,Skirt,Red,L,Unisex,Autumn,PKR 3542,Denim
583,Floral Heels,Heels,Yellow,,Male,Winter,PKR 5036,Polyester
584,Floral Shorts,Shorts,Pink,M,Female,Autumn,PKR 7348,Cotton
585,Relaxed Handbag,Handbag,Pink,,Unisex,Winter,PKR 8447,Wool
586,Casual Jeans,Jeans,Brown,L,Female,Winter,PKR 1622,Wool
587,Relaxed Boots,Boots,Beige,S,Male,Summer,PKR 2528,Wool
588,Casual Shorts,Shorts,Blue,L,Male,Summer,PKR 4771,Nylon
589,Mini Jacket,Jacket,Grey,XS,Female,Summer,PKR 7654,Wool
590,Classic Boots,Boots,Pink,M,Male,Autumn,PKR 3680,Denim
591,Sporty Heels,Heels,Green,,Unisex,Spring,PKR 8812,Cotton
592,Floral Boots,Boots,Beige,L,Female,Winter,PKR 6300,Silk
593,Zip Jeans,Jeans,Yellow,XS,Male,Winter,PKR 1741,Silk
594,Graphic Hoodie,Hoodie,Grey,XS,Male,Spring,PKR 1795,Cotton
595,Relaxed Hoodie,Hoodie,Grey,L,Female,Spring,PKR 3896,Leather
596,Elegant Jeans,Jeans,Beige,L,Unisex,Autumn,PKR 4395,Linen
597,Urban Jacket,Jacket,Green,M,Female,Summer,PKR 5554,Linen
598,Floral Crop Top,Crop Top,White,S,Male,Summer,PKR 6141,Leather
599,Relaxed Handbag,Handbag,Yellow,,Unisex,Spring,PKR 7975,Linen
600,Floral Boots,Boots,White,S,Female,Autumn,PKR 7250,Silk
601,Mini Jacket,Jacket,Beige,XS,Female,Summer,PKR 7096,Denim
602,Casual Crop Top,Crop Top,White,XL,Unisex,Summer,PKR 8768,Polyester
603,Relaxed Shorts,Shorts,Red,XS,Female,Autumn,PKR 4792,Leather
604,Urban Heels,Heels,Brown,,Unisex,Summer,PKR 4734,Silk
605,Graphic Jeans,Jeans,White,XL,Unisex,Spring,PKR 7011,Nylon
606,Classic Boots,Boots,Grey,S,Unisex,Spring,PKR 8022,Denim
607,Casual Heels,Heels,Red,,Unisex,Spring,PKR 4050,Leather
608,Sporty Jacket,Jacket,Black,L,Unisex,Autumn,PKR 8416,Denim
609,Urban Skirt,Skirt,Black,L,Unisex,Summer,PKR 2742,Linen
610,Graphic Jacket,Jacket,White,S,Female,Summer,PKR 3159,Denim
611,Floral Skirt,Skirt,Blue,M,Female,Spring,PKR 1700,Nylon
612,Urban Crop Top,Crop Top,Brown,L,Male,Autumn,PKR 3298,Denim
613,Graphic Sneakers,Sneakers,Beige,XL,Unisex,Winter,PKR 7821,Silk
614,Casual Jeans,Jeans,Black,M,Unisex,Summer,PKR 8836,Silk
615,Sporty Handbag,Handbag,Beige,,Unisex,Winter,PKR 1894,Denim
616,Floral Handbag,Handbag,Green,,Male,Spring,PKR 7708,Leather
617,Zip Sneakers,Sneakers,Black,M,Unisex,Spring,PKR 8963,Polyester
618,Relaxed Crop Top,Crop Top,Blue,S,Male,Summer,PKR 4897,Silk
619,Floral Handbag,Handbag,Pink,,Female,Spring,PKR 3536,Polyester
620,Sporty Sneakers,Sneakers,Black,M,Unisex,Autumn,PKR 1754,Linen
621,Sporty Jacket,Jacket,Red,S,Unisex,Spring,PKR 1220,Linen
622,Mini Jeans,Jeans,Beige,S,Male,Summer,PKR 8818,Nylon
623,Urban Crop Top,Crop Top,Brown,XL,Unisex,Autumn,PKR 1812,Nylon
624,Classic Crop Top,Crop Top,Blue,M,Male,Autumn,PKR 4130,Nylon
625,Urban Jeans,Jeans,Grey,XS,Male,Autumn,PKR 7112,Nylon
626,Sporty Boots,Boots,Green,L,Male,Autumn,PKR 7726,Silk
627,Relaxed Boots,Boots,White,XL,Unisex,Summer,PKR 2627,Wool
628,Elegant Boots,Boots,Beige,L,Unisex,Spring,PKR 4282,Wool
629,Sporty Crop Top,Crop Top,Grey,XL,Male,Summer,PKR 5292,Wool
630,Elegant Heels,Heels,Blue,,Unisex,Autumn,PKR 3284,Linen
631,Classic Shorts,Shorts,Grey,M,Unisex,Spring,PKR 8324,Denim
632,Graphic Handbag,Handbag,Brown,,Male,Winter,PKR 8153,Polyester
633,Mini Skirt,Skirt,Yellow,M,Unisex,Spring,PKR 6590,Silk
634,Mini Boots,Boots,Pink,S,Female,Autumn,PKR 8680,Linen
635,Zip Jacket,Jacket,White,XS,Male,Summer,PKR 3199,Leather
636,Elegant Skirt,Skirt,Red,XS,Unisex,Autumn,PKR 7722,Linen
637,Classic Sneakers,Sneakers,Pink,S,Unisex,Spring,PKR 6851,Nylon
638,Sporty Boots,Boots,Brown,M,Unisex,Summer,PKR 7204,Silk
639,Zip Sneakers,Sneakers,Beige,M,Unisex,Winter,PKR 3261,Leather
640,Zip Skirt,Skirt,Yellow,XS,Unisex,Autumn,PKR 3086,Silk
641,Elegant Crop Top,Crop Top,Beige,L,Male,Winter,PKR 3413,Wool
642,Urban Shorts,Shorts,Black,L,Female,Summer,PKR 6107,Polyester
643,Sporty Crop Top,Crop Top,Grey,XS,Unisex,Autumn,PKR 6078,Linen
644,Classic Hoodie,Hoodie,Pink,L,Male,Winter,PKR 8387,Nylon
645,Casual Boots,Boots,Blue,M,Male,Summer,PKR 8639,Nylon
646,Sporty Crop Top,Crop Top,Blue,M,Male,Winter,PKR 4620,Linen
647,Elegant Heels,Heels,Pink,,Unisex,Spring,PKR 6985,Nylon
648,Relaxed Jeans,Jeans,Yellow,XL,Male,Spring,PKR 6567,Wool
649,Urban Skirt,Skirt,Yellow,XL,Female,Spring,PKR 3642,Polyester
650,Mini Shorts,Shorts,Brown,XL,Unisex,Winter,PKR 6062,Linen
651,Graphic Crop Top,Crop Top,Beige,M,Unisex,Spring,PKR 4777,Linen
652,Relaxed Shorts,Shorts,Red,XS,Female,Spring,PKR 2426,Wool
653,Relaxed Heels,Heels,Beige,,Male,Autumn,PKR 7627,Polyester
654,Graphic Jeans,Jeans,Pink,XL,Unisex,Winter,PKR 5017,Leather
655,Graphic Jacket,Jacket,Green,XL,Unisex,Summer,PKR 2556,Silk
656,Sporty Jacket,Jacket,Grey,XL,Male,Spring,PKR 6729,Denim
657,Classic Skirt,Skirt,Blue,M,Male,Winter,PKR 7778,Nylon
658,Sporty Shorts,Shorts,Red,L,Unisex,Autumn,PKR 2623,Linen
659,Classic Jeans,Jeans,Pink,S,Male,Winter,PKR 3825,Silk
660,Urban Hoodie,Hoodie,Blue,XS,Unisex,Autumn,PKR 4094,Cotton
661,Mini Skirt,Skirt,Yellow,S,Unisex,Autumn,PKR 6450,Nylon
662,Floral Handbag,Handbag,Grey,,Female,Summer,PKR 3465,Polyester
663,Elegant Boots,Boots,Brown,XS,Unisex,Autumn,PKR 5654,Nylon
664,Relaxed Jacket,Jacket,White,M,Female,Winter,PKR 8967,Silk
665,Classic Crop Top,Crop Top,Brown,L,Male,Autumn,PKR 4546,Cotton
666,Urban Handbag,Handbag,Black,,Female,Summer,PKR 2115,Leather
667,Mini Jeans,Jeans,Grey,L,Male,Winter,PKR 8789,Wool
668,Floral Jacket,Jacket,Blue,L,Male,Summer,PKR 5850,Silk
669,Urban Jeans,Jeans,Grey,M,Unisex,Summer,PKR 2518,Leather
670,Relaxed Crop Top,Crop Top,Brown,XS,Female,Spring,PKR 4886,Denim
671,Relaxed Sneakers,Sneakers,Pink,XS,Male,Winter,PKR 6711,Leather
672,Casual Shorts,Shorts,Brown,L,Female,Winter,PKR 5869,Silk
673,Urban Heels,Heels,White,,Female,Spring,PKR 1234,Leather
674,Relaxed Shorts,Shorts,Black,L,Unisex,Autumn,PKR 8949,Leather
675,Floral Shorts,Shorts,White,M,Unisex,Autumn,PKR 7587,Denim
676,Mini Heels,Heels,Yellow,,Unisex,Autumn,PKR 3155,Cotton
677,Sporty Boots,Boots,White,XL,Female,Winter,PKR 5218,Leather
678,Urban Jeans,Jeans,Beige,XL,Female,Autumn,PKR 1785,Leather
679,Mini Jeans,Jeans,Red,XS,Male,Autumn,PKR 3312,Denim
680,Elegant Jacket,Jacket,Beige,M,Male,Spring,PKR 8493,Linen
681,Floral Hoodie,Hoodie,Red,L,Unisex,Autumn,PKR 2528,Wool
682,Zip Hoodie,Hoodie,Pink,XL,Unisex,Spring,PKR 1910,Linen
683,Casual Crop Top,Crop Top,Black,XL,Female,Autumn,PKR 5546,Leather
